Product Code,Product,Brand,Price,LLM_Context
88EB4558,Mobile Phone,Motorola,7.857.000 VNĐ,"Sản phẩm Mobile Phone thương hiệu Motorola, mã sản phẩm 88EB4558. Giá bán hiện tại là 7.857.000 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7 Gen, RAM 12GB, Bộ nhớ trong 128GB, Ổ cứng SSD nan."
416DFEEB,Laptop,Oppo,4.461.300 VNĐ,"Sản phẩm Laptop thương hiệu Oppo, mã sản phẩm 416DFEEB. Giá bán hiện tại là 4.461.300 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 5, Chip Ryzen 5, RAM 8GB, Bộ nhớ trong 512GB, Ổ cứng SSD 256GB."
9F975B08,Mobile Phone,Samsung,15.982.600 VNĐ,"Sản phẩm Mobile Phone thương hiệu Samsung, mã sản phẩm 9F975B08. Giá bán hiện tại là 15.982.600 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip MediaTek Dimensity, RAM 8GB, Bộ nhớ trong 256GB, Ổ cứng SSD nan."
73D2A7CC,Laptop,Sony,2.091.100 VNĐ,"Sản phẩm Laptop thương hiệu Sony, mã sản phẩm 73D2A7CC. Giá bán hiện tại là 2.091.100 VNĐ. Cấu hình kỹ thuật bao gồm: Core i7, Chip i7, RAM 12GB, Bộ nhớ trong 64GB, Ổ cứng SSD 2TB."
CCE0B80D,Laptop,Microsoft,6.983.200 VNĐ,"Sản phẩm Laptop thương hiệu Microsoft, mã sản phẩm CCE0B80D. Giá bán hiện tại là 6.983.200 VNĐ. Cấu hình kỹ thuật bao gồm: Core i7, Chip i7, RAM 8GB, Bộ nhớ trong 128GB, Ổ cứng SSD 2TB."
10A5C53D,Laptop,HP,19.047.400 VNĐ,"Sản phẩm Laptop thương hiệu HP, mã sản phẩm 10A5C53D. Giá bán hiện tại là 19.047.400 VNĐ. Cấu hình kỹ thuật bao gồm: Core i7, Chip i7, RAM 16GB, Bộ nhớ trong 64GB, Ổ cứng SSD 256GB."
14932CAE,Mobile Phone,Dell,1.167.000 VNĐ,"Sản phẩm Mobile Phone thương hiệu Dell, mã sản phẩm 14932CAE. Giá bán hiện tại là 1.167.000 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Apple A-Series, RAM 16GB, Bộ nhớ trong 256GB, Ổ cứng SSD nan."
D58FF785,Laptop,Apple,1.504.100 VNĐ,"Sản phẩm Laptop thương hiệu Apple, mã sản phẩm D58FF785. Giá bán hiện tại là 1.504.100 VNĐ. Cấu hình kỹ thuật bao gồm: Core i7, Chip i7, RAM 12GB, Bộ nhớ trong 128GB, Ổ cứng SSD 256GB."
4FC302CF,Laptop,Apple,18.664.700 VNĐ,"Sản phẩm Laptop thương hiệu Apple, mã sản phẩm 4FC302CF. Giá bán hiện tại là 18.664.700 VNĐ. Cấu hình kỹ thuật bao gồm: Core i5, Chip i5, RAM 16GB, Bộ nhớ trong 64GB, Ổ cứng SSD 1TB."
E3CF42BE,Mobile Phone,Motorola,17.469.800 VNĐ,"Sản phẩm Mobile Phone thương hiệu Motorola, mã sản phẩm E3CF42BE. Giá bán hiện tại là 17.469.800 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip MediaTek Dimensity, RAM 6GB, Bộ nhớ trong 64GB, Ổ cứng SSD nan."
F54013D6,Mobile Phone,Apple,5.125.100 VNĐ,"Sản phẩm Mobile Phone thương hiệu Apple, mã sản phẩm F54013D6. Giá bán hiện tại là 5.125.100 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 8 Gen, RAM 4GB, Bộ nhớ trong 256GB, Ổ cứng SSD nan."
38604169,Mobile Phone,Toshiba,17.971.000 VNĐ,"Sản phẩm Mobile Phone thương hiệu Toshiba, mã sản phẩm 38604169. Giá bán hiện tại là 17.971.000 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7s, RAM 6GB, Bộ nhớ trong 512GB, Ổ cứng SSD nan."
E1DA13C1,Mobile Phone,Realme,13.237.000 VNĐ,"Sản phẩm Mobile Phone thương hiệu Realme, mã sản phẩm E1DA13C1. Giá bán hiện tại là 13.237.000 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 7 Gen, RAM 16GB, Bộ nhớ trong 512GB, Ổ cứng SSD nan."
2744030A,Laptop,Nokia,19.564.100 VNĐ,"Sản phẩm Laptop thương hiệu Nokia, mã sản phẩm 2744030A. Giá bán hiện tại là 19.564.100 VNĐ. Cấu hình kỹ thuật bao gồm: Core Ryzen 3, Chip Ryzen 3, RAM 12GB, Bộ nhớ trong 256GB, Ổ cứng SSD 256GB."
9F9A8BA9,Laptop,Lenovo,12.146.200 VNĐ,"Sản phẩm Laptop thương hiệu Lenovo, mã sản phẩm 9F9A8BA9. Giá bán hiện tại là 12.146.200 VNĐ. Cấu hình kỹ thuật bao gồm: Core i3, Chip i3, RAM 6GB, Bộ nhớ trong 128GB, Ổ cứng SSD 512GB."
00A8F8A0,Mobile Phone,Samsung,5.714.800 VNĐ,"Sản phẩm Mobile Phone thương hiệu Samsung, mã sản phẩm 00A8F8A0. Giá bán hiện tại là 5.714.800 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip MediaTek Helio, RAM 16GB, Bộ nhớ trong 256GB, Ổ cứng SSD nan."
CF70EFC5,Mobile Phone,HP,13.609.400 VNĐ,"Sản phẩm Mobile Phone thương hiệu HP, mã sản phẩm CF70EFC5. Giá bán hiện tại là 13.609.400 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Apple A-Series, RAM 12GB, Bộ nhớ trong 128GB, Ổ cứng SSD nan."
7FE9993A,Mobile Phone,Google,8.980.100 VNĐ,"Sản phẩm Mobile Phone thương hiệu Google, mã sản phẩm 7FE9993A. Giá bán hiện tại là 8.980.100 VNĐ. Cấu hình kỹ thuật bao gồm: Core nan, Chip Snapdragon 8 Gen, RAM 4GB, Bộ nhớ trong 1TB, Ổ cứng SSD nan."
